"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityHomeStackNavigator.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\DiscoverStackNavigator.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\HomeStackNavigator.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\ProfileStackNavigator.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\package-lock.json", "JSON", 0, 364, 0, 0, 0, 0, 0, 0, 0, 364
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\SavedPostsScreen.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 3, 25, 302
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\AuthGate.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 3, 4, 78
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\LandingScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\ActivityInsightsScreen.js", "JavaScript", -30, 0, 0, 0, 0, 0, 0, 4, 9, -17
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\DiscoverScreen.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, -1, 2, 21
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\EditDiscoverProfileScreen.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 7, 16, 305
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\OpenerSelectionScreen.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 1, 0, 76
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\ProfileFeedScreen.js", "JavaScript", -258, 0, 0, 0, 0, 0, 0, -16, -29, -303
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\YourEventsScreen.js", "JavaScript", 323, 0, 0, 0, 0, 0, 0, 7, 15, 345
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\ChallengeSubmissionsScreen.js", "JavaScript", 530, 0, 0, 0, 0, 0, 0, 9, 15, 554
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\ChallengeSubmitScreen.js", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 6, 8, 230
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\QnAQuestionsScreen.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 5, 12, 207
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\ApplicantDetailScreen.js", "JavaScript", 548, 0, 0, 0, 0, 0, 0, 0, 27, 575
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\ApplicantsListScreen.js", "JavaScript", 408, 0, 0, 0, 0, 0, 0, 0, 22, 430
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityCreatePostScreen.js", "JavaScript", 349, 0, 0, 0, 0, 0, 0, 16, 13, 378
